Date,AMZN,DUK,KO
10/21/2008,50.23,31.084034,17.723219
10/22/2008,49.990002,30.589065,17.472946
10/23/2008,50.32,32.469947,16.579662
10/24/2008,48.959999,30.945443,16.021359
10/27/2008,49.580002,31.123632,15.790336
10/28/2008,56.040001,33.024312,17.422891
10/29/2008,56.889999,32.153168,16.883839
10/30/2008,56.709999,33.321294,17.195719
10/31/2008,57.240002,32.430349,16.964698
11/3/2008,55.77,33.004512,17.499898
11/4/2008,58.450001,33.499481,17.723219
11/5/2008,51.98,30.925645,17.222672
11/6/2008,47.220001,31.004839,17.130264
11/7/2008,49.209999,32.172966,17.807927
11/10/2008,48.459999,31.519606,17.673165
11/11/2008,46.299999,31.361217,17.111011
11/12/2008,41.560001,30.738412,16.87614
11/13/2008,44.93,32.36574,17.819478
11/14/2008,41.75,31.421486,17.334333
11/17/2008,39.689999,30.919224,16.930045
11/18/2008,38.439999,31.50185,16.745228
11/19/2008,35.84,29.954883,16.275483
11/20/2008,35.029999,29.39235,15.813439
11/21/2008,37.869999,30.216058,16.941595
11/24/2008,42.5,31.039767,17.41519
11/25/2008,42.189999,30.798684,17.353584
11/26/2008,43.959999,30.416963,17.621518
11/28/2008,42.700001,31.260764,18.2001
12/1/2008,40.470001,29.613346,17.213793
12/2/2008,41.189999,29.131174,17.058468
12/3/2008,45.209999,29.653525,17.916633
12/4/2008,47.32,29.311989,17.376883
12/5/2008,48.259998,30.015154,17.854504
12/8/2008,51.41,30.015154,17.854504
12/9/2008,51.25,29.151264,17.407948
12/10/2008,49.700001,29.573164,17.594337
12/11/2008,48.25,29.251717,17.171079
12/12/2008,51.25,29.37226,17.306987
12/15/2008,48.849998,29.151264,17.462311
12/16/2008,52.630001,30.015154,18.040893
12/17/2008,53.18,29.35217,17.660349
12/18/2008,52.080002,29.673618,17.543856
12/19/2008,51.560001,29.492803,17.252623
12/22/2008,49.84,29.81425,17.341935
12/23/2008,51.080002,29.010631,17.074001
12/24/2008,51.439999,29.35217,17.12448
12/26/2008,51.779999,29.231627,17.31087
12/29/2008,49.400002,29.432532,17.244857
12/30/2008,50.759998,30.015154,17.446778
12/31/2008,51.279999,30.155787,17.578804
1/2/2009,54.360001,30.939316,17.82344
1/5/2009,54.060001,31.682664,17.644816
1/6/2009,57.360001,30.818773,17.36135
1/7/2009,56.200001,30.899135,17.446778
1/8/2009,57.16,30.959406,17.567155
1/9/2009,55.509998,30.678141,17.318635
1/12/2009,51.919998,30.879045,16.980806
1/13/2009,51.450001,30.457144,17.093416
1/14/2009,48.490002,30.115608,16.549781
1/15/2009,51.439999,29.854432,16.837132
1/16/2009,51.59,30.175879,17.02352
1/20/2009,48.439999,29.894611,16.650743
1/21/2009,50.540001,29.83434,16.80995
1/22/2009,49.939999,29.854432,16.743936
1/23/2009,50.630001,29.934793,16.386692
1/26/2009,49.630001,30.457144,16.708988
1/27/2009,48.439999,30.738412,16.825483
1/28/2009,50.360001,30.939316,17.031287
1/29/2009,50,30.959406,16.91091
1/30/2009,58.82,30.437055,16.588613
2/2/2009,61.150002,30.155787,16.402225
2/3/2009,63.59,30.236151,16.821599
2/4/2009,61.060001,30.858955,16.464354
2/5/2009,63.18,31.079949,16.576963
2/6/2009,66.550003,31.50185,16.91091
2/9/2009,66.709999,31.461668,16.429406
